match_time,jc_order,league,home_team,away_team,score,bet365,hg,bet10,lb,ms,ac,snai,wl,ysb,wd,iw,bet12,lj,yh,bet18,jc,ybb,pb
20180802,,球会友谊,塔罗提克,FK巴卡,1-0,"2.550,3.400,2.370,0.950,0.0,0.850,0.800,2.5,1.000",,".000,.000,.000,0.950,0.0,0.860,0.800,2.5,1.020",,,,,,,,,,,,,,,
20180803,,埃及超,艾尔格纳,马斯里,0-1,"6.000,3.600,1.500,0.720,-1.0,1.080,1.000,2.25,0.800","5.100,3.600,1.540,0.750,-1.0,1.070,0.950,2.25,0.850","6.950,3.550,1.470,0.780,-1.0,1.100,0.960,2.25,0.850",,"5.000,3.550,1.560,0.780,-1.0,1.060,0.990,2.25,0.830",,,,"5.300,3.600,1.530,0.790,-1.0,1.040,0.920,2.25,0.890","8.000,3.600,1.500,0.990,-1.0,0.850,0.950,2.25,0.880",,"5.000,3.550,1.560,0.780,-1.0,1.060,0.990,2.25,0.830","4.600,3.750,1.570,0.780,-1.0,1.110,1.030,2.25,0.830",,"6.000,3.600,1.500,1.070,-0.75,0.750,0.930,2.25,0.830",,"5.100,3.600,1.540,0.760,-1.0,1.080,0.960,2.25,0.860",
20180804,,北爱联杯,PSNI,班朴利治,1-0,,,,,,,,,,,,,,,,,,
20180804,,瑞典乙,奥斯特森德,哈诺辛迪,6-1,"1.140,7.000,10.000,0.800,2.0,1.000,0.950,4.0,0.850",,"1.140,7.000,10.250,0.790,2.0,0.990,0.940,4.0,0.840",,,,,,"1.140,7.000,8.300,0.800,2.0,0.980,0.930,4.0,0.850","1.170,7.000,13.000,0.870,2.25,0.900,0.850,4.0,0.910",,,,,"1.140,7.000,10.000,0.790,2.0,0.980,0.920,4.0,0.820",,,
20180806,,匈甲,汉维特,保克什,1-0,"1.700,3.600,4.330,0.980,0.75,0.820,0.880,2.5,0.920","1.050,7.900,21.000,0.980,0.5,0.860,1.020,2.0,0.800","1.640,3.650,4.600,0.950,0.75,0.860,0.840,2.5,0.940",,"1.710,3.500,4.000,0.940,0.75,0.900,0.840,2.5,0.980",,,,"1.810,3.400,3.700,1.050,0.75,0.750,0.860,2.5,0.910","1.950,3.500,3.750,0.920,0.5,0.870,0.850,2.5,0.950",,"1.710,3.500,4.000,0.940,0.75,0.900,0.840,2.5,0.980","1.730,3.500,3.950,0.960,0.75,0.880,0.850,2.5,0.970",,"1.700,3.700,4.800,0.940,0.75,0.860,0.840,2.5,0.960",,"2.560,2.130,3.850,1.130,0.25,0.740,0.900,1.0,0.940",
20180804,,丹麦丁,赫尔雷夫,霍尔贝克,2-5,"2.400,4.200,2.200,0.980,0.0,0.820,0.800,3.25,1.000",,,,,,,,"2.400,4.200,2.200,0.980,0.0,0.800,0.790,3.25,1.000",,,,,,"2.400,4.200,2.200,0.960,0.0,0.810,0.790,3.25,0.980",,,
20180808,,国际友谊,意大利U18,斯洛文尼亚U18,2-1,,"1.630,3.850,4.050,0.880,0.75,0.940,0.850,2.75,0.950","1.760,3.650,4.150,0.930,0.75,0.910,0.920,2.75,0.880",,"1.620,3.600,4.450,0.960,0.75,0.920,0.960,2.75,0.900",,,,,,,"1.620,3.600,4.450,0.960,0.75,0.920,0.960,2.75,0.900","1.720,3.550,3.900,0.930,0.75,0.950,0.940,2.75,0.920",,"1.680,3.700,4.000,0.900,0.75,0.900,0.900,2.75,0.900",,"1.630,3.850,4.050,0.890,0.75,0.950,0.860,2.75,0.960",
20180809,,国际友谊,意大利U20,圣马力诺,4-0,"1.160,7.000,11.000,0.800,2.0,1.000,1.000,3.25,0.800",,".000,.000,.000,0.800,2.0,1.020,1.020,3.25,0.800",,,,,,,,,,,,,,,
20180809,,国际友谊,奥地利U19,塞浦路斯U19,4-0,"1.360,4.750,6.000,0.850,1.25,0.950,0.820,2.75,0.980","1.370,4.600,6.600,0.900,1.25,0.980,0.880,2.75,0.980","1.320,4.900,8.000,0.900,1.25,0.950,0.830,2.75,0.990",,"1.350,4.300,6.800,0.830,1.25,1.010,0.850,2.75,0.970",,,,"1.360,4.500,5.500,0.850,1.25,0.930,0.830,2.75,0.950",,,"1.350,4.300,6.800,0.830,1.25,1.010,0.850,2.75,0.970","1.360,4.500,6.200,0.890,1.25,0.950,0.870,2.75,0.950",,"1.360,4.800,6.000,0.860,1.25,0.900,0.800,2.75,0.960",,"1.370,4.600,6.600,0.910,1.25,0.990,0.890,2.75,0.990",
20180811,,球会友谊,斯图加特,皇家社会,1-0,"2.100,3.400,2.870,0.900,0.25,0.950,0.900,2.5,0.900","2.080,3.350,2.920,0.850,0.25,0.970,0.850,2.5,0.950","2.150,3.450,2.900,0.850,0.25,0.970,0.900,2.5,0.870",,"2.240,3.250,2.760,0.850,0.25,0.990,0.930,2.5,0.890",,,,"2.050,3.000,3.000,0.890,0.25,0.930,0.890,2.5,0.910","2.100,3.400,2.880,0.910,0.25,0.900,0.850,2.75,0.880",,"2.240,3.250,2.760,0.850,0.25,0.990,0.930,2.5,0.890","2.200,3.000,3.000,0.890,0.25,0.950,0.910,2.5,0.910",,"2.200,3.350,3.000,0.880,0.25,0.960,0.920,2.5,0.900",,"2.080,3.350,2.920,0.860,0.25,0.980,0.860,2.5,0.960",
20180811,,英乙,卡利斯尔联,北安普敦,2-2,"2.370,3.250,3.000,1.020,0.25,0.820,1.050,2.5,0.800","2.230,3.300,3.050,0.970,0.25,0.910,0.820,2.25,1.040","2.350,3.200,2.950,1.050,0.25,0.810,0.960,2.5,0.850",,"2.350,3.200,2.920,1.060,0.25,0.860,1.080,2.5,0.830",,,,"2.210,3.300,2.900,0.950,0.25,0.950,0.830,2.25,1.050","2.450,3.300,2.900,1.100,0.25,0.820,0.980,2.5,0.890",,"2.350,3.200,2.920,1.060,0.25,0.860,1.080,2.5,0.830","2.360,3.150,2.960,1.020,0.25,0.900,1.110,2.5,0.800",,"2.350,3.250,3.000,1.000,0.25,0.810,0.990,2.5,0.820",,"2.280,3.300,2.950,1.040,0.25,0.860,0.830,2.25,1.050",
20180811,,乌克U21,卡帕提U21,柔亚U21,7-1,"2.100,3.500,2.800,0.920,0.25,0.880,1.050,3.0,0.750",,,,,,,,,,,,,,"2.100,3.500,2.850,0.910,0.25,0.860,1.030,3.0,0.730",,,
20180811,,挪丙,利恩,佛罗亚,5-1,"1.720,4.200,3.400,0.780,0.5,1.020,0.850,3.5,0.950","1.750,3.800,3.150,0.750,0.5,0.950,0.800,3.25,0.900",,,".000,.000,.000,0.790,0.5,0.970,0.840,3.25,0.920",,,,"1.720,4.200,3.100,0.750,0.5,1.050,0.870,3.25,0.900",,,".000,.000,.000,0.790,0.5,0.970,0.840,3.25,0.920",,,"1.720,4.200,3.400,0.880,1.0,0.880,0.800,3.25,0.900",,"1.750,3.800,3.150,0.750,0.5,0.950,0.800,3.25,0.900",
20180815,周三028,亚运男足,巴林U23,韩国U23,0-6,"12.000,6.500,1.160,1.380,-1.5,0.550,0.900,3.0,0.900","8.500,5.200,1.230,0.990,-1.5,0.770,0.960,3.0,0.800","15.500,6.400,1.140,1.080,-1.75,0.750,0.860,3.0,0.900",,"11.000,5.300,1.190,1.230,-1.75,0.570,0.830,3.0,0.930","12.000,6.500,1.150,1.050,-1.75,0.650,0.800,3.0,0.800",,,"16.000,4.800,1.180,0.840,-2.0,0.940,0.870,3.0,0.900","15.000,6.000,1.120,0.930,-2.0,0.850,0.890,3.0,0.890",,"11.000,5.200,1.190,1.230,-1.75,0.570,0.830,3.0,0.930","10.000,6.200,1.160,1.050,-1.75,0.710,0.860,3.0,0.900",,"9.500,5.500,1.190,1.350,-1.5,0.500,0.880,3.0,0.880",,"8.500,5.200,1.230,0.990,-1.5,0.770,0.960,3.0,0.800",
20180817,,球会友谊,维拉夫兰科,科利亚,1-3,"7.500,5.500,1.250,1.050,-1.5,0.750,0.880,3.75,0.920",,,,,,,,".000,.000,.000,0.960,-1.5,0.860,0.930,3.5,0.880",,,,,,".000,.000,.000,0.820,-1.75,0.970,1.010,3.75,0.790",,,
20180818,,北马其乙西,卡梅尼察,奥布尔沙尼游击队,2-3,,,,,,,,,,,,,,,,,,
20180818,,北马其乙西,普赫谢沃,普拉柯维卡,1-0,,,,,,,,,,,,,,,,,,
20180818,,北马其乙西,卡勒穆勒尔,泰特克斯,1-1,,,,,,,,,,,,,,,,,,
20180818,,芬乙,迈帕,拉贾萨隆,7-3,"1.100,9.000,13.000,0.980,2.5,0.820,1.020,4.5,0.780","1.100,8.200,11.500,0.830,2.5,0.990,0.900,4.5,0.900","1.100,7.750,12.000,0.970,2.5,0.810,0.810,4.25,0.970",,"1.140,6.500,9.300,1.010,2.5,0.830,1.040,4.5,0.780",,,,,"1.120,8.000,13.000,0.990,2.5,0.840,0.800,4.25,0.950",,"1.140,6.500,9.300,1.010,2.5,0.830,1.040,4.5,0.780","1.150,6.000,11.500,1.000,2.5,0.840,1.010,4.5,0.810",,"1.160,7.000,9.000,1.050,2.5,0.730,1.030,4.5,0.750",,"1.100,8.200,11.500,0.840,2.5,1.000,0.910,4.5,0.910",
20180818,,南非甲,乌同FC,塔斯哈克修玛TM,0-0,"2.300,3.000,2.875,0.775,0.0,1.025,0.825,2.0,0.975",,,,,,,,,,,,,,,,,
20180818,,挪威U19,格拉克U19,艾维洛姆U19,3-1,"1.500,5.000,4.000,0.900,1.0,0.900,0.800,3.75,1.000",,"1.510,5.000,4.000,0.880,1.0,0.880,0.790,3.75,0.990",,,,,,,"1.530,4.330,4.200,0.890,1.0,0.890,0.980,4.0,0.800",,,,,,,,
20180818,,中乙,大连千兆,盐城大丰,0-1,"2.400,3.400,2.500,0.880,0.0,0.920,0.800,2.25,1.000","2.400,3.150,2.400,0.600,-0.25,1.110,1.000,2.5,0.700","2.400,3.400,2.500,0.690,0.0,1.110,1.110,2.25,0.690",,".000,.000,.000,0.680,0.0,1.090,1.090,2.25,0.680",,,,"2.600,3.300,2.210,0.500,-0.25,1.440,1.220,2.5,0.600","2.450,3.100,2.550,0.850,0.0,0.930,0.800,2.25,0.980",,".000,.000,.000,0.680,0.0,1.090,1.090,2.25,0.680",,,,,"2.400,3.150,2.400,0.600,-0.25,1.110,1.210,2.5,0.520",
20180818,,威超,艾伯里斯特夫,卡迪夫都市大学,1-4,"2.200,3.400,2.750,1.000,0.25,0.800,0.980,2.75,0.820","2.200,3.500,2.630,1.020,0.25,0.800,0.950,2.75,0.850","2.250,3.400,2.750,0.980,0.25,0.840,0.940,2.75,0.840",,"2.300,3.200,2.680,1.000,0.25,0.820,0.980,2.75,0.820",,,,"2.290,3.200,2.800,0.990,0.25,0.910,0.980,2.75,0.850","2.250,3.500,2.900,1.000,0.25,0.860,0.950,2.75,0.850",,"2.300,3.200,2.680,1.000,0.25,0.820,0.980,2.75,0.820","2.290,3.200,2.670,0.990,0.25,0.850,0.970,2.75,0.850",,"2.200,3.400,2.800,0.980,0.25,0.820,0.950,2.75,0.810",,"2.200,3.500,2.630,1.030,0.25,0.810,0.960,2.75,0.860",
20180818,,伊朗超,纳夫特,胡泽斯坦,2-2,"1.720,3.250,4.330,0.950,0.75,0.850,0.850,2.0,0.950","1.770,3.150,4.250,1.020,0.75,0.800,0.850,2.0,0.950","1.900,3.000,4.150,0.990,0.5,0.830,0.840,2.0,0.930",,"1.730,3.150,4.450,1.030,0.75,0.810,0.860,2.0,0.960",,,,"1.820,3.200,4.200,1.110,0.75,0.780,0.900,2.0,0.960","1.950,3.100,4.000,0.990,0.5,0.830,0.910,2.0,0.890",,"1.730,3.150,4.450,1.030,0.75,0.810,0.860,2.0,0.960","1.760,3.300,4.000,1.020,0.75,0.820,0.870,2.0,0.950",,"1.950,3.100,4.300,0.980,0.5,0.820,0.850,2.0,0.950",,"1.720,3.200,4.450,0.980,0.75,0.860,0.860,2.0,0.960",
20180818,,乌克超,基辅阿森纳,查诺莫斯,1-1,"2.500,2.870,2.750,0.750,0.0,1.050,0.950,2.0,0.850","2.380,2.970,2.760,0.770,0.0,1.050,0.950,2.0,0.850","2.650,2.850,2.650,0.900,0.0,0.900,0.810,2.0,0.970",,"2.370,2.900,2.830,0.760,0.0,1.110,0.940,2.0,0.900",,,,"2.350,3.000,2.600,0.770,0.0,1.020,0.890,2.0,0.880","2.600,2.880,2.600,0.880,0.0,0.890,0.850,2.0,0.920",,"2.370,2.900,2.830,0.760,0.0,1.110,0.940,2.0,0.900","2.490,2.630,2.950,0.770,0.0,1.090,0.960,2.0,0.880",,"2.750,2.950,2.750,0.900,0.0,0.900,0.830,2.0,0.980",,"2.380,2.970,2.760,0.780,0.0,1.060,0.960,2.0,0.860",
20180818,,球会友谊,拉巴特联盟,莫罗迪亚,0-0,,,,,,,,,,,,,,,,,,
20180818,,球会友谊,格尼卡,巴马社达,2-3,"1.330,4.330,7.500,0.880,1.25,0.920,0.750,2.5,1.050",,"1.330,4.500,7.750,0.860,1.25,0.940,0.970,2.75,0.810",,,,,,,,,,,,"1.320,4.700,9.000,0.850,1.25,0.930,0.970,2.75,0.810",,,
20180818,,球会友谊,哈利亚,华斯尔,1-3,"3.600,4.500,1.610,0.900,-0.75,0.900,0.800,3.25,1.000",,"3.750,4.650,1.620,0.900,-0.75,0.900,0.800,3.25,1.020",,,,,,,,,,,,,,,
20180818,,埃及超,伊蒂哈德伊斯坎达里,伊斯梅利,1-0,"3.750,2.870,2.000,1.000,-0.25,0.800,0.900,2.0,0.900","3.150,3.000,2.120,0.970,-0.25,0.850,0.850,2.0,0.950","4.000,2.850,2.000,0.760,-0.5,1.060,0.870,2.0,0.900",,"3.100,3.000,2.160,1.000,-0.25,0.880,0.870,2.0,0.990",,,,"3.400,3.000,2.030,1.040,-0.25,0.790,0.760,2.0,1.070","4.100,2.880,2.100,1.070,-0.25,0.780,0.920,2.0,0.890",,"3.100,3.000,2.160,1.000,-0.25,0.880,0.870,2.0,0.990","3.100,3.000,2.160,1.050,-0.25,0.830,0.900,2.0,0.960",,"3.800,3.100,2.000,0.960,-0.25,0.840,0.850,2.0,0.950",,"3.150,3.000,2.120,0.980,-0.25,0.860,0.860,2.0,0.960",
