match_time,jc_order,league,home_team,away_team,score,bet365,hg,bet10,lb,ms,ac,snai,wl,ysb,wd,iw,bet12,lj,yh,bet18,jc,ybb,pb
20170207,,英U23,诺维奇U23,阿斯顿维拉U23,0-1,"3.000,3.600,2.050,1.420,0.0,0.520,0.700,2.75,1.100","2.350,3.350,2.350,0.880,0.00,0.880,0.960,2.75,0.800","2.450,3.400,2.450,0.900,0.00,0.900,0.910,2.75,0.850",,"2.450,3.250,2.480,0.920,0.00,0.960,0.940,2.75,0.920",,,,"2.480,3.200,2.360,0.960,0.00,0.820,0.870,2.75,0.900","2.450,3.400,2.400,0.940,0.00,0.940,0.650,2.50,1.150",,"2.450,3.250,2.480,0.920,0.00,0.960,0.940,2.75,0.920","2.480,3.200,2.480,0.940,0.00,0.940,0.960,2.75,0.900","2.350,3.350,2.350,0.890,0.00,0.880,0.970,2.75,0.800","2.430,3.330,2.450,0.930,0.00,0.960,0.760,2.75,1.120",,,
20170207,,英U23,西布朗维奇U23,纽卡斯尔联U23,0-1,"1.830,3.800,3.500,0.420,0.0,1.750,0.780,2.75,1.020","2.310,3.400,2.360,0.880,0.00,0.880,0.880,2.75,0.880","2.400,3.400,2.450,0.900,0.00,0.900,0.820,2.75,0.960",,"2.450,3.300,2.450,0.920,0.00,0.960,0.880,2.75,0.980",,,,"2.470,3.200,2.370,0.960,0.00,0.820,0.790,2.75,1.000","2.450,3.400,2.400,0.940,0.00,0.940,0.600,2.50,1.250",,"2.450,3.300,2.450,0.920,0.00,0.960,0.880,2.75,0.980","2.470,3.200,2.470,0.940,0.00,0.940,0.860,2.75,1.000","2.310,3.400,2.360,0.890,0.00,0.880,0.890,2.75,0.880","2.100,3.330,2.920,0.640,0.00,1.320,0.850,2.75,1.020",,,
20170207,,比U21,韦斯达路U21,梅赫伦U21,3-2,"2.900,4.000,1.900,0.820,-0.5,0.980,0.950,3.25,0.850",,"2.950,3.850,1.900,0.820,-0.50,0.910,0.830,3.25,0.900",,"3.000,3.500,1.990,0.850,-0.50,0.990,0.890,3.25,0.930",,,,"2.900,4.000,1.830,0.850,-0.50,0.930,0.830,3.25,0.950",,,"3.000,3.500,1.990,0.850,-0.50,0.990,0.890,3.25,0.930",,,".000,.000,.000,0.820,-0.50,0.980,0.890,3.25,0.890",,,
20170207,,英U23,埃弗顿U23,阿森纳U23,1-0,"1.400,4.500,6.250,0.980,1.25,0.820,0.720,2.75,1.080","1.660,3.600,3.700,0.850,0.75,0.910,0.780,2.75,0.980","1.900,3.600,3.300,0.950,0.50,0.860,0.820,2.75,0.960",,"1.870,3.550,3.300,0.960,0.50,0.920,0.880,2.75,0.980",,,,"1.800,3.600,3.800,0.860,0.50,1.060,0.870,2.75,1.000","1.870,3.600,3.250,0.980,0.50,0.900,0.600,2.50,1.250",,"1.860,3.550,3.350,0.960,0.50,0.920,0.880,2.75,0.980","1.970,3.400,3.150,0.980,0.50,0.900,0.860,2.75,1.000","1.660,3.600,3.700,0.860,0.75,0.910,0.790,2.75,0.980","1.590,3.950,4.230,0.720,0.75,1.190,0.720,2.75,1.170",,,
20170205,,巴拉甲,索尔美洲,独立FBC,1-1,"1.700,3.600,4.500,1.020,0.75,0.780,0.800,2.5,1.000","1.770,3.500,3.750,0.990,0.75,0.830,0.850,2.50,0.950","1.710,3.400,4.050,0.990,0.75,0.840,0.840,2.50,0.940",,"1.730,3.550,3.850,0.980,0.75,0.860,0.890,2.50,0.930",,,,"1.740,3.600,3.500,1.020,0.75,0.770,0.830,2.50,0.950","1.750,3.500,4.500,0.990,0.75,0.830,0.750,2.50,1.000",,"1.730,3.550,3.850,0.980,0.75,0.860,0.890,2.50,0.930","1.740,3.550,3.800,1.000,0.75,0.840,0.870,2.50,0.950","1.770,3.500,3.750,1.000,0.75,0.830,0.860,2.50,0.950","1.720,3.540,3.840,0.970,0.75,0.850,0.880,2.50,0.920",,,
20170207,,英U23,莱切斯特城U23,南安普顿U23,0-2,"4.330,4.200,1.600,1.200,-0.5,0.650,0.720,2.75,1.080","2.010,3.450,2.770,1.010,0.50,0.750,0.750,2.75,1.010","2.200,3.400,2.750,0.900,0.25,0.900,0.820,2.75,0.960",,"2.150,3.350,2.820,0.930,0.25,0.950,0.880,2.75,0.980",,,,"2.140,3.400,3.000,0.930,0.25,0.980,0.870,2.75,1.000","2.200,3.400,2.700,0.940,0.25,0.940,0.600,2.50,1.250",,"2.150,3.350,2.820,0.930,0.25,0.950,0.880,2.75,0.980","2.230,3.300,2.720,0.980,0.25,0.900,0.860,2.75,1.000","2.010,3.450,2.770,1.020,0.50,0.750,0.760,2.75,1.010",".000,.000,.000,1.690,0.25,0.480,0.800,2.75,1.060",,,
20170207,,英U23,德比郡U23,曼联U23,5-3,"3.500,3.800,1.830,1.100,-0.25,0.700,0.900,3.0,0.900","2.760,3.450,2.010,0.930,0.25,0.830,0.990,3.00,0.770","2.850,3.450,2.100,1.060,-0.25,0.770,1.030,3.00,0.760",,"3.000,3.450,2.000,1.090,-0.25,0.800,1.040,3.00,0.820",,,,"3.100,3.300,2.110,1.080,-0.25,0.830,1.040,3.00,0.800","2.880,3.400,2.100,0.850,-0.50,1.050,0.570,2.50,1.300",,"3.000,3.450,2.000,1.080,-0.25,0.800,1.040,3.00,0.820","3.150,3.300,2.000,1.040,-0.25,0.840,1.060,3.00,0.800","2.760,3.450,2.010,0.970,-0.25,0.800,1.000,3.00,0.770","3.130,3.500,1.960,1.140,-0.25,0.760,0.970,3.00,0.900",,,
20170207,周一015,德乙,斯图加特,杜塞尔多夫,2-0,"1.570,4.000,5.500,0.850,0.75,1.000,1.020,2.75,0.820","1.570,4.000,4.750,1.050,1.00,0.830,1.010,2.75,0.850","1.620,3.800,4.850,1.030,1.00,0.790,1.000,2.75,0.790",,"1.600,3.650,5.500,1.080,1.00,0.850,1.050,2.75,0.850","1.550,3.800,4.800,1.020,1.00,0.800,0.950,2.75,0.750",,,"1.620,3.800,4.600,0.840,0.75,1.070,0.840,2.50,1.040","1.620,4.000,5.500,1.090,1.00,0.810,0.800,2.50,1.000",,"1.600,3.650,5.600,1.070,1.00,0.850,1.050,2.75,0.850","1.600,3.800,5.200,1.110,1.00,0.820,1.080,2.75,0.820","1.570,4.000,4.750,1.060,1.00,0.830,1.020,2.75,0.850","1.590,3.790,5.190,1.100,1.00,0.810,1.080,2.75,0.810",,,
20170207,,苏青联,哈茨U20,邓弗姆林U20,1-1,"4.100,4.330,1.610,1.250,-0.5,0.620,0.800,3.0,1.000","2.680,3.700,2.100,0.850,-0.25,0.910,0.850,3.00,0.910","2.700,3.750,2.050,0.840,-0.25,0.940,0.880,3.00,0.880",,"2.710,3.400,2.190,0.860,-0.25,0.940,0.940,3.00,0.880",,,,"3.000,4.000,1.800,1.020,-0.25,0.770,0.850,3.00,0.930","2.700,3.400,2.100,0.850,-0.25,0.930,0.530,2.50,1.380",,"2.710,3.400,2.190,0.860,-0.25,0.940,0.940,3.00,0.880",".000,.000,.000,0.850,-0.25,0.950,0.900,3.00,0.900","2.680,3.700,2.100,0.860,-0.25,0.910,0.860,3.00,0.910","3.700,3.500,1.780,1.240,-0.25,0.630,0.850,3.00,0.970",,,
20170207,,意乙,特拉帕尼,阿维利诺,0-0,"2.000,3.200,4.000,1.050,0.5,0.800,1.120,2.25,0.750","2.320,3.050,2.940,1.030,0.25,0.850,1.010,2.25,0.850","2.300,3.000,3.150,0.910,0.25,0.900,0.980,2.25,0.800",,"2.230,3.200,3.100,0.840,0.25,1.090,0.980,2.25,0.920","2.050,3.050,3.250,0.800,0.25,0.960,0.900,2.25,0.800",,,"2.270,3.100,3.000,0.890,0.25,1.030,0.980,2.25,0.850","2.400,2.900,3.400,1.030,0.25,0.860,1.250,2.50,0.620",,"2.230,3.200,3.100,0.840,0.25,1.080,0.980,2.25,0.920","2.210,3.100,3.300,0.970,0.25,0.950,1.050,2.25,0.850","2.320,3.050,2.940,1.040,0.25,0.850,1.020,2.25,0.850","2.210,3.100,3.300,0.970,0.25,0.950,1.050,2.25,0.850",,,
