match_time,jc_order,league,home_team,away_team,score,bet365,hg,bet10,lb,ms,ac,snai,wl,ysb,wd,iw,bet12,lj,yh,bet18,jc,ybb,pb
20200101,,毛利甲,ASC警察,特拉尔扎AC,2-1,"2.400,3.000,2.750,0.800,0.0,1.000,0.850,2.0,0.950",,,,,,,,,,,,,,"2.400,3.000,2.750,0.790,0,0.980,1.400,2.5,0.530",,,
20200101,,国际友谊,阿联酋女足U18,黎巴嫩女足U18,1-3,,,,,,,,,,,,,,,,,,
20200103,,阿尔杯,MC奥兰,基利斯,3-1,"1.030,13.000,23.000,0.900,3.5,0.900,0.900,4.5,0.900",,"1.010,12.250,25.250,0.980,3.5,0.810,0.840,4.25,0.950",,,,,,"1.030,13.000,10.800,0.900,3.5,0.870,0.870,4.5,0.900","1.030,11.500,23.000,0.960,3.25,0.820,0.890,4.5,0.880",,,,,"1.030,13.000,23.000,0.890,3.5,0.890,0.830,4.5,0.830",,,"1.040,14.440,39.940,0.980,3.5,0.810,0.850,4.25,0.950"
20200104,,球会友谊,奥兰斯,欧塞尔,2-1,"2.500,3.200,2.600,0.850,0.0,0.950,0.950,2.25,0.850","2.440,3.200,2.530,0.850,0,0.970,0.950,2.25,0.850","2.550,3.100,2.600,0.880,0,0.940,0.970,2.25,0.820",,"2.500,3.000,2.570,0.890,0,0.950,0.960,2.25,0.860",,,,"2.490,3.000,2.600,0.890,0,0.960,0.990,2.25,0.840","2.450,3.000,2.630,0.850,0,0.960,0.910,2.25,0.800",,"2.520,2.950,2.600,0.870,0,0.970,0.960,2.25,0.860","2.530,3.050,2.530,0.890,0,0.950,0.980,2.25,0.840","2.410,3.150,2.570,0.870,0,0.980,0.970,2.25,0.860","2.450,3.200,2.550,0.820,0,0.940,0.920,2.25,0.820",,"2.410,3.150,2.570,0.860,0.0,0.980,0.960,2.25,0.860","2.680,3.100,2.750,0.880,0,0.930,0.960,2.25,0.840"
20200105,,西丁,罗维达,克维伦特,0-0,"2.200,3.100,3.100,0.900,0.25,0.900,1.000,2.25,0.800",,"2.150,3.100,3.050,0.890,0.25,0.890,0.980,2.25,0.810",,"2.090,3.050,3.250,0.920,0.25,0.920,1.000,2.25,0.820",,,,"2.900,2.900,2.310,0.990,0.25,0.810,1.010,2.25,0.800",,,"2.630,3.000,2.490,0.920,0.25,0.920,1.000,2.25,0.820","2.210,2.890,3.100,0.920,0.25,0.920,1.000,2.25,0.820",,"2.150,3.100,3.100,0.890,0.25,0.890,0.970,2.25,0.800",,,"2.240,3.140,3.410,0.910,0.25,0.920,0.990,2.25,0.830"
20200106,,摩洛超,卡萨布兰卡维达德,兹马姆拉,1-1,"1.360,4.000,8.000,0.650,1.0,1.200,0.820,2.25,0.970","1.410,3.850,6.500,0.790,1.0,1.030,0.950,2.25,0.850","1.460,3.950,6.000,0.840,1.0,1.000,0.950,2.25,0.840",,"1.410,3.950,6.400,0.860,1.0,0.980,0.950,2.25,0.870",,,,"1.320,4.200,9.600,0.650,1.0,1.250,0.930,2.25,0.860",,,"1.450,3.850,5.900,0.860,1.0,0.980,0.950,2.25,0.870","1.460,3.900,5.600,0.840,1.0,1.000,0.970,2.25,0.850","1.410,3.850,6.500,0.810,1.0,1.040,0.970,2.25,0.860","1.360,4.500,6.500,0.840,1.0,0.960,0.940,2.25,0.860",,"1.410,3.850,6.500,0.800,1.0,1.040,0.960,2.25,0.860","1.350,4.190,9.810,1.070,1.25,0.740,0.950,2.25,0.850"
20200107,,圣青杯,曼斯奎拉青年队,雷森德U20,2-1,"5.500,4.500,1.440,1.050,-1.0,0.750,0.950,3.0,0.850","4.700,4.050,1.450,0.900,-1.0,0.800,0.900,3.0,0.800","5.600,4.700,1.390,0.970,-1.0,0.810,0.940,3.0,0.840",,"5.000,4.000,1.490,0.810,-1.0,0.990,0.950,3.0,0.850",,,,"4.200,3.900,1.650,0.700,-1.0,1.170,1.020,3.0,0.800","5.250,4.100,1.450,0.940,-1.0,0.840,0.930,3.0,0.830",,"5.000,4.000,1.490,1.030,-1.0,0.770,0.950,3.0,0.850",".000,.000,.000,0.880,-1.0,0.920,0.950,3.0,0.850","4.700,4.050,1.450,0.920,-1.0,0.810,0.920,3.0,0.810","4.800,4.200,1.450,0.910,-1.0,0.810,0.910,3.0,0.810",,"4.700,4.050,1.450,0.900,-1.0,0.800,0.900,3.0,0.800","5.490,4.380,1.530,0.950,-1.0,0.880,0.920,3.0,0.890"
20200107,,圣青杯,法林明高(SP)青年队,美国RJ青年队,5-0,"1.570,4.200,4.500,0.820,0.75,0.970,1.000,2.75,0.800","1.660,3.550,3.750,0.850,0.75,0.850,0.900,2.75,0.800","1.540,4.200,4.500,0.940,1.0,0.840,0.990,2.75,0.800",,"1.490,3.800,5.400,0.850,0.75,0.950,1.000,2.75,0.800",,,,"1.440,3.900,6.700,0.750,0.75,1.090,1.090,2.75,0.750","1.600,3.800,4.330,0.880,0.75,0.900,0.930,2.75,0.830",,"1.490,3.800,5.400,0.850,0.75,0.950,1.000,2.75,0.800",".000,.000,.000,0.950,1.0,0.850,0.980,2.75,0.820","1.660,3.550,3.750,0.870,0.75,0.860,0.920,2.75,0.810","1.630,3.800,3.900,0.860,0.75,0.860,0.910,2.75,0.810",,"1.660,3.550,3.800,0.840,0.75,0.860,0.900,2.75,0.800","1.630,3.920,5.190,0.910,0.75,0.940,1.020,2.75,0.810"
20200109,,球会友谊,阿尔费萨里,巴格达警察,1-1,"1.400,4.330,6.000,1.000,1.25,0.800,0.850,2.75,0.950",,,,,,,,,,,,,,,,,
20200109,,科威特U19,Al科威特SC U20,苏拉比卡青年队,4-0,"1.030,13.000,23.000,0.900,3.75,0.900,0.900,4.75,0.900",,,,,,,,,,,,,,"1.020,13.000,23.000,0.880,3.75,0.880,0.890,4.75,0.870",,,
20200111,,球会友谊,塞尔维特,沃尔夫斯堡,2-1,"2.050,3.100,4.000,1.050,-0.5,0.750,0.825,2.25,0.975","2.980,3.500,2.010,0.810,-0.5,1.010,0.890,2.75,0.910","4.200,3.850,1.660,0.920,-0.75,0.900,0.790,2.75,1.000",,,,,,,"3.300,3.400,1.900,0.840,-0.5,0.970,0.910,2.75,0.800",,,,"2.980,3.500,2.010,0.830,-0.5,1.020,0.910,2.75,0.920","3.200,3.600,1.900,0.800,-0.5,1.000,0.750,2.5,1.050",,,"4.350,4.100,1.700,0.820,-0.5,1.010,0.880,2.75,0.920"
