match_time,jc_order,league,home_team,away_team,score,bet365,hg,bet10,lb,ms,ac,snai,wl,ysb,wd,iw,bet12,lj,yh,bet18,jc,ybb,pb
20171202,,威甲,布里顿费里,安迪竞技,3-3,,,,,,,,,,,,,,,,,,
20171202,,罗乙,蒂米什瓦拉,巴雷拉,2-1,,"1.340,4.500,5.400,0.800,1.25,0.900,0.900,3.25,0.800","1.470,3.950,5.550,0.780,1.00,1.000,1.230,3.50,0.630",,"1.370,4.500,6.000,0.840,1.25,0.920,0.940,3.25,0.820",,,,"1.370,4.700,5.100,0.860,1.25,0.840,0.910,3.25,0.800","1.440,4.400,6.250,0.820,1.25,0.920,0.910,3.25,0.800",,"1.370,4.500,6.000,0.840,1.25,0.920,0.940,3.25,0.820",,"1.340,4.500,5.400,0.810,1.25,0.900,0.910,3.25,0.800","1.340,4.500,5.500,0.810,1.25,0.910,0.910,3.25,0.810",,"1.340,4.500,5.400,0.800,1.25,0.900,0.900,3.25,0.800",
20171202,,葡甲,本菲卡B队,艾路卡,1-0,"2.550,2.870,2.750,0.880,0.0,0.980,0.850,2.25,1.000","2.460,3.300,2.550,0.900,0.00,0.980,0.850,2.25,1.010","2.500,2.900,2.850,0.890,0.00,0.970,0.900,2.25,0.900",,"2.480,3.100,2.670,0.880,0.00,1.020,0.840,2.25,1.040",,,,"2.600,3.000,2.600,0.910,0.00,1.000,0.800,2.25,1.080","2.700,3.000,2.800,0.910,0.00,0.980,1.050,2.50,0.830",,"2.480,3.100,2.670,0.880,0.00,1.020,0.840,2.25,1.040","2.570,2.960,2.680,0.910,0.00,0.990,0.940,2.25,0.940","2.460,3.300,2.550,0.910,0.00,0.980,0.860,2.25,1.010","2.500,2.850,2.750,0.910,0.00,0.990,0.940,2.25,0.940",,"2.460,3.300,2.550,0.950,0.0,0.950,0.860,2.25,1.020",
20171205,,罗甲,ACS蒂米索拉,梅迪亚什沼气,1-1,"1.900,3.100,3.750,0.820,0.5,0.980,0.950,2.0,0.850","1.820,3.050,4.100,0.850,0.50,1.010,0.940,2.00,0.900","2.100,3.000,3.600,1.010,0.50,0.850,0.870,2.00,0.930",,"1.850,3.000,4.050,0.860,0.50,1.020,0.980,2.00,0.880",,,,"1.870,3.200,4.000,0.880,0.50,1.040,0.960,2.00,0.900","2.050,3.120,3.900,1.010,0.50,0.860,0.920,2.00,0.900",,"1.850,3.000,4.050,0.860,0.50,1.020,0.980,2.00,0.880","1.870,3.200,3.650,0.980,0.50,0.900,0.960,2.00,0.900","1.820,3.050,4.100,0.860,0.50,1.010,0.950,2.00,0.900","1.900,3.100,3.800,0.880,0.50,1.000,0.960,2.00,0.900",,"1.820,3.050,4.100,0.860,0.5,1.020,0.950,2.0,0.910",
20171205,,塞尔超,古拉瑞奇,泽蒙,4-1,"1.440,4.000,6.000,0.800,1.0,1.000,0.950,2.25,0.850","1.440,3.850,6.000,0.850,1.00,0.970,0.900,2.25,0.900","1.440,4.000,5.850,0.860,1.00,0.910,0.940,2.25,0.840",,,,,,"1.460,3.900,6.300,0.830,1.00,1.080,0.980,2.25,0.850","1.450,4.000,7.500,0.850,1.00,0.980,0.850,2.25,0.950",,,"1.500,3.750,5.200,0.940,1.00,0.900,0.970,2.25,0.850","1.440,3.850,6.000,0.860,1.00,0.970,0.910,2.25,0.900","1.440,4.000,6.000,0.860,1.00,0.990,0.970,2.25,0.870",,"1.440,3.850,6.000,0.860,1.0,0.980,0.910,2.25,0.910",
20171207,,塞浦杯,亚吉纳帕,AEL利马索尔,2-1,"12.000,5.500,1.200,1.000,-1.75,0.800,1.000,3.25,0.800","9.500,5.800,1.190,1.000,-1.75,0.820,1.000,3.25,0.800","11.250,5.850,1.190,1.160,-1.75,0.700,0.890,3.25,0.870",,".000,.000,.000,1.160,-1.75,0.700,0.920,3.25,0.900",,,,"10.500,6.100,1.140,1.140,-1.75,0.690,0.910,3.25,0.860",,,".000,.000,.000,1.160,-1.75,0.700,0.920,3.25,0.900",,"9.500,5.800,1.190,1.010,-1.75,0.820,1.010,3.25,0.800","10.000,5.500,1.200,1.000,-1.75,0.800,1.000,3.25,0.800",,"9.500,5.800,1.190,1.010,-1.75,0.830,1.010,3.25,0.810",
20171207,,南非超,自由州星队,金箭,2-1,"2.500,2.800,3.000,0.880,0.0,0.920,0.920,2.0,0.880","2.500,2.980,2.600,0.850,0.00,0.910,0.910,2.00,0.850","2.350,2.800,3.100,0.870,0.00,0.940,0.950,2.00,0.830",,,,,,"2.600,2.800,2.500,0.890,0.00,0.880,0.930,2.00,0.850","2.600,2.800,3.120,1.100,0.25,0.750,0.890,2.00,0.910",,,"2.580,2.790,2.670,0.890,0.00,0.950,0.970,2.00,0.850","2.500,2.980,2.600,0.860,0.00,0.910,0.920,2.00,0.850","2.500,2.800,3.000,0.860,0.00,0.920,0.920,2.00,0.860",,"2.500,2.980,2.600,0.850,0.0,0.910,0.910,2.0,0.850",
20171209,,巴皮青杯,托卢卡青年队,明尼路MG青年队,0-3,"5.000,3.800,1.530,0.900,-1.0,0.900,0.880,3.0,0.920","4.450,4.050,1.480,0.850,-1.00,0.850,0.850,3.00,0.850","4.900,3.750,1.540,0.870,-1.00,0.900,0.850,3.00,0.910",,".000,.000,.000,0.880,-1.00,0.900,0.890,3.00,0.870",,,,"5.200,4.000,1.430,0.900,-1.00,0.870,0.870,3.00,0.900",,,".000,.000,.000,0.880,-1.00,0.900,0.890,3.00,0.870",,"4.450,4.050,1.480,0.860,-1.00,0.850,0.860,3.00,0.850","5.000,3.800,1.530,0.860,-1.00,0.860,0.860,3.00,0.860",,"4.450,4.050,1.480,0.850,-1.0,0.850,0.850,3.0,0.850",
20171209,,新西联U20,南方联U20,坎特伯雷U20,0-4,"4.500,4.500,1.500,0.900,-1.0,0.900,0.800,3.75,1.000",,".000,.000,.000,0.860,-1.00,0.860,0.770,3.75,0.970",,,,,,"4.500,4.500,1.440,0.900,-1.00,0.870,0.790,3.75,1.000",,,,,,"4.500,4.500,1.500,0.880,-1.00,0.940,0.780,3.75,1.020",,,
20171211,周日024,荷甲,阿贾克斯,埃因霍温,3-0,"2.000,3.500,3.600,0.990,0.5,0.910,0.920,2.75,0.920","2.000,3.600,3.100,1.000,0.50,0.880,0.910,2.75,0.950","1.900,3.500,3.850,1.040,0.50,0.820,0.900,2.75,0.900",,"2.020,3.400,3.450,1.080,0.50,0.850,0.950,2.75,0.950","1.800,3.550,3.700,0.840,0.50,0.960,0.830,2.75,0.870",,,"1.840,3.600,3.600,0.870,0.50,1.040,0.670,2.50,1.250","2.050,3.700,3.400,1.070,0.50,0.840,0.920,2.75,0.910",,"2.020,3.400,3.450,1.080,0.50,0.850,0.950,2.75,0.950","2.050,3.400,3.350,1.060,0.50,0.860,0.950,2.75,0.950","2.000,3.600,3.100,1.010,0.50,0.880,0.920,2.75,0.950","1.900,3.500,3.500,1.060,0.50,0.840,0.940,2.75,0.940",,"2.000,3.600,3.100,1.010,0.5,0.910,0.920,2.75,0.980",
