match_time,jc_order,league,home_team,away_team,score,bet365,hg,bet10,lb,ms,ac,snai,wl,ysb,wd,iw,bet12,lj,yh,bet18,jc,ybb,pb
20180201,,球会友谊,普拉维,威亚斯威德尼克,2-2,"1.330,5.000,6.000,0.850,1.25,0.950,0.900,3.0,0.900",,"1.400,5.000,6.500,0.980,1.25,0.910,0.900,3.00,0.940",,"1.420,4.100,5.800,0.950,1.25,0.890,0.880,3.00,0.940",,,,".000,.000,.000,1.030,1.00,0.790,0.850,4.00,0.960",,,"1.420,4.100,5.800,0.950,1.25,0.890,0.880,3.00,0.940",,,"1.390,4.200,6.250,0.890,1.25,0.950,0.880,3.00,0.940",,,
20180201,,国际友谊,日本U19,捷克U19,1-0,"2.620,3.500,2.250,0.780,-0.25,1.020,0.850,2.75,0.950","2.570,3.550,2.230,0.850,-0.25,0.910,0.850,2.75,0.910","2.700,3.550,2.300,0.840,-0.25,1.030,0.900,2.75,0.910",,"2.540,3.100,2.480,0.780,-0.25,1.020,0.890,2.75,0.910","2.450,3.100,2.250,0.650,-0.25,1.050,0.800,2.75,0.800",,,"2.700,3.000,2.290,1.040,0.00,0.750,0.960,2.75,0.820",,,"2.540,3.100,2.480,0.780,-0.25,1.020,0.890,2.75,0.910","2.630,3.150,2.380,0.700,-0.25,1.160,0.930,2.75,0.890","2.570,3.550,2.230,0.760,-0.25,1.010,0.860,2.75,0.910","2.600,3.500,2.250,0.780,-0.25,1.030,0.850,2.75,0.950",,"2.570,3.550,2.230,0.850,-0.25,0.910,0.850,2.75,0.910",
20180203,,英议南,高士打,普尔城,2-2,"2.250,3.500,2.750,0.730,0.0,1.080,0.980,2.75,0.820","2.270,3.550,2.660,1.050,0.25,0.790,0.990,2.75,0.830","2.250,3.400,2.750,1.030,0.25,0.790,0.970,2.75,0.810",,"2.270,3.300,2.660,1.040,0.25,0.800,0.990,2.75,0.830",,,,"2.380,3.000,2.900,1.050,0.25,0.850,1.130,2.75,0.740","2.300,3.400,2.900,1.030,0.25,0.860,0.980,2.75,0.880",,"2.270,3.300,2.660,1.040,0.25,0.800,0.990,2.75,0.830","2.370,3.100,2.670,1.050,0.25,0.790,0.990,2.75,0.830","2.270,3.550,2.660,1.060,0.25,0.790,1.000,2.75,0.830","2.250,3.500,2.750,1.030,0.25,0.780,0.980,2.75,0.830",,"2.270,3.550,2.660,1.060,0.25,0.800,1.000,2.75,0.840",
20180203,,意青联甲,AC米兰青年队,博洛尼亚青年队,0-0,"1.570,3.800,4.750,1.000,1.0,0.800,0.800,2.75,1.000","1.600,3.900,4.250,0.800,0.75,0.960,0.850,2.75,0.910","1.580,3.800,4.900,0.830,0.75,1.000,0.880,2.75,0.880",,"1.600,3.900,4.200,0.860,0.75,0.980,0.920,2.75,0.900",,,,"1.640,3.900,3.600,0.800,0.75,0.980,0.860,2.75,0.910","1.650,3.800,4.800,0.840,0.75,1.010,0.870,2.75,0.920",,"1.600,3.900,4.200,0.860,0.75,0.980,0.920,2.75,0.900","1.640,3.900,4.000,0.840,0.75,1.000,0.910,2.75,0.910","1.600,3.900,4.250,0.810,0.75,0.960,0.860,2.75,0.910","1.570,3.800,4.800,1.000,1.00,0.800,0.800,2.75,1.000",,"1.600,3.900,4.250,0.800,0.75,0.960,0.850,2.75,0.910",
20180203,,荷丙,圣徒足球会,皇家哈勒姆,2-1,"2.250,3.750,2.500,0.800,0.0,1.000,1.000,3.0,0.800",,"2.200,3.550,2.550,0.820,0.00,1.030,1.030,3.00,0.820",,,,,,"2.250,3.800,2.600,1.050,0.25,0.850,1.040,3.00,0.800",,,,,,"2.250,3.800,2.500,1.050,0.25,0.750,1.000,3.00,0.800",,,
20180203,,法丙,敦刻尔克,格勒诺布尔,0-0,"2.650,3.000,2.650,0.900,0.0,0.900,1.250,2.25,0.620","2.680,3.000,2.530,1.000,0.00,0.880,0.960,2.00,0.900","2.500,2.950,2.650,0.880,0.00,0.880,0.980,2.25,0.760",,"2.620,3.050,2.540,0.950,0.00,0.950,1.050,2.25,0.830",,,,"2.800,3.000,2.440,1.060,0.00,0.840,0.870,2.00,0.990","2.750,3.000,2.620,0.970,0.00,0.860,0.920,2.00,0.890",,"2.620,3.050,2.540,0.950,0.00,0.950,1.050,2.25,0.830","2.700,2.940,2.570,1.000,0.00,0.900,1.030,2.00,0.850","2.680,3.000,2.530,1.010,0.00,0.880,0.970,2.00,0.900","2.500,3.000,2.600,0.940,0.00,0.940,1.050,2.25,0.830",,"2.680,3.000,2.530,1.010,0.0,0.890,1.010,2.0,0.870",
20180203,,国际友谊,加那利群岛U19,捷克U19,0-5,"5.750,4.000,1.440,0.850,-1.5,0.950,1.100,3.0,0.700","7.100,4.700,1.300,0.820,-1.50,1.000,0.850,2.75,0.950","10.000,4.350,1.310,0.640,-2.00,1.320,1.130,3.00,0.720",,"6.800,4.300,1.350,0.640,-2.00,1.250,1.140,3.00,0.700",,,,".000,.000,.000,0.860,-1.25,0.950,0.860,2.75,0.950","7.000,4.400,1.330,0.940,-1.25,0.840,0.850,2.75,0.910",,"6.800,4.300,1.350,0.640,-2.00,1.250,1.140,3.00,0.700","14.000,4.400,1.220,1.000,-2.00,0.840,0.970,3.00,0.850","7.100,4.700,1.300,0.830,-1.50,1.000,0.860,2.75,0.950","10.000,5.000,1.220,0.620,-2.00,1.280,1.090,3.00,0.740",,"7.100,4.700,1.300,0.830,-1.5,1.010,0.860,2.75,0.960",
20180208,,阿联酋超,华斯尔,阿尔贾泽拉,1-1,"1.750,3.750,3.600,1.000,0.5,0.800,1.000,3.25,0.800","1.900,3.750,3.050,0.900,0.50,0.920,1.000,3.25,0.800","1.760,3.800,3.650,1.160,0.50,0.700,0.990,3.25,0.800",,"2.190,3.450,2.680,1.160,0.50,0.700,1.000,3.25,0.820",,,,"2.170,3.500,2.800,0.910,0.25,1.000,1.040,3.25,0.800","1.750,3.900,3.800,0.920,0.25,0.930,0.980,3.25,0.770",,"2.190,3.450,2.680,1.160,0.50,0.700,1.000,3.25,0.820","2.110,3.500,2.760,1.120,0.50,0.770,1.060,3.25,0.800","1.900,3.750,3.050,0.910,0.50,0.920,1.010,3.25,0.800","1.900,3.800,3.050,0.910,0.50,0.930,1.010,3.25,0.810",,"1.980,3.700,2.860,1.010,0.5,0.830,1.010,3.25,0.810",
20180209,,阿联酋超,阿尔艾因,酋长,3-0,"1.120,7.000,13.000,0.900,2.25,0.900,0.800,3.75,1.000","1.140,6.700,10.500,0.990,2.25,0.830,1.000,3.75,0.800","1.090,7.500,15.000,0.990,2.25,0.840,0.780,3.75,1.010",,".000,.000,.000,0.990,2.25,0.850,0.700,3.75,1.140",,,,"1.170,6.400,10.400,1.050,2.25,0.850,0.860,3.75,0.990","1.150,7.500,11.500,1.010,2.25,0.840,0.870,4.00,0.900",,".000,.000,.000,0.990,2.25,0.850,0.700,3.75,1.140","1.180,7.000,7.800,1.080,2.25,0.800,0.860,3.75,1.000","1.140,6.700,10.500,0.900,2.25,0.930,1.010,3.75,0.800","1.120,7.000,13.000,0.900,2.25,0.900,0.800,3.75,1.000",,"1.130,6.800,11.000,1.000,2.25,0.840,0.710,3.75,1.120",
20180209,,球会友谊,海勒鲁普,格雷夫,3-1,"1.900,3.800,3.100,0.980,0.5,0.820,0.800,3.0,1.000",,"2.000,4.000,3.250,0.940,0.75,0.940,0.840,3.00,1.050",,,,,,"1.750,4.000,3.400,1.020,0.75,0.820,0.820,3.00,1.000","1.910,3.600,3.120,0.980,0.50,0.840,0.980,3.25,0.750",,,,,"1.900,3.800,3.100,0.980,0.50,0.830,0.800,3.00,1.000",,,
