match_time,jc_order,league,home_team,away_team,score,bet365,hg,bet10,lb,ms,ac,snai,wl,ysb,wd,iw,bet12,lj,yh,bet18,jc,ybb,pb
20200402,,球会友谊,桑斯布罗,维西奥FK,4-1,"1.800,4.750,3.000,0.800,0.5,1.000,0.850,4.0,0.950","1.760,4.050,2.980,0.760,0.5,0.940,0.800,4.0,0.900",,,"1.790,4.000,2.930,0.790,0.5,0.970,0.860,4.0,0.900","1.700,4.000,2.950,0.900,0.75,0.800,0.860,4.25,0.740",,,"1.600,5.000,3.800,0.900,0.75,0.800,0.900,4.25,0.810","1.830,4.330,3.130,0.850,0.5,0.960,0.780,4.0,0.950",,"1.780,4.050,2.940,0.860,0.75,0.900,0.860,4.0,0.900","1.950,3.400,2.830,0.960,0.5,0.800,0.930,4.0,0.830","1.760,4.050,2.980,0.780,0.5,0.950,0.820,4.0,0.910","1.760,4.000,3.000,0.950,0.75,0.860,0.810,4.0,0.910",,"1.760,4.100,2.950,0.760,0.5,0.940,0.800,4.0,0.900","1.930,4.290,3.160,0.980,0.75,0.820,0.920,4.0,0.850"
20200402,,白俄业余,利伯塔斯明斯克,里弗因艾尔迪纳摩,0-0,"2.870,4.000,1.950,0.980,-0.25,0.820,0.800,3.5,1.000",,,,,,,,"2.600,4.000,2.100,0.980,-0.25,0.740,0.820,3.5,0.890",,,,,,,,,
20200404,,白俄超,明斯克迪纳摩,若基诺鱼雷,2-0,"1.900,3.250,3.800,0.720,0.25,1.080,0.880,2.0,0.920","1.980,2.980,3.250,0.630,0.25,1.070,0.790,2.0,0.910","2.250,3.150,2.950,0.940,0.25,0.880,0.780,2.0,1.010",,"1.890,3.050,3.800,0.810,0,0.950,1.120,2.25,0.650",,,,"2.130,3.000,3.200,1.150,0.5,0.700,0.840,2.0,0.960","1.950,3.000,3.600,1.030,0.5,0.790,0.830,2.0,0.930",,"1.890,3.050,3.800,0.810,0,0.950,1.120,2.25,0.650","2.130,3.100,3.050,0.800,0.25,1.000,1.000,2.0,0.800","1.970,3.100,3.450,0.970,0.5,0.760,0.810,2.0,0.920","1.890,3.050,3.800,0.800,0,0.940,1.120,2.25,0.650",,"1.940,2.980,3.350,0.960,0.5,0.740,0.800,2.0,0.900","2.400,3.030,3.210,0.820,0,0.970,0.840,2.0,0.930"
20200404,,球会友谊,桑德尔,古赫登斯,0-6,,,,,,,,,,,,,,,,,,
20200406,,球会友谊,山德比贝里女足,拉格斯维德女足,0-7,,,,,,,,,,,,,,,,,,
20200406,,球会友谊,卡尔堡斯女足,马利伯格斯女足,1-1,,,,,,,,,,,,,,,,,,
20200408,,球会友谊,阿弗里坎斯卡FC,索德泰结,5-7,,,"2.650,4.350,2.050,0.910,-0.25,0.910,0.860,4.5,0.920",,"2.360,4.050,2.080,0.900,-0.25,0.860,0.910,4.5,0.850",,,,,".000,.000,.000,0.920,-0.25,0.890,0.870,4.75,0.870",,"2.360,4.050,2.080,0.900,-0.25,0.860,0.860,4.5,0.900","2.650,3.800,1.920,0.900,-0.25,0.800,0.850,4.5,0.850",,"3.250,4.300,1.680,0.350,-1.5,2.000,0.830,4.5,0.930",,,
20200409,,白俄杯,布雷斯特迪纳摩,索利戈尔斯克矿工,2-0,"2.000,3.000,3.800,0.800,0.25,1.000,0.950,2.25,0.850","1.900,3.150,3.300,0.900,0.5,0.800,0.850,2.25,0.850","2.000,2.950,3.500,0.860,0.5,0.890,0.890,2.25,0.860",,"1.940,3.200,3.400,0.880,0.5,0.920,0.920,2.25,0.880",,,,"2.250,3.000,3.200,0.950,0.25,0.830,0.830,2.0,0.940","2.000,3.100,3.400,0.900,0.5,0.900,0.900,2.25,0.830",,"1.940,3.200,3.400,0.880,0.5,0.920,0.920,2.25,0.880","1.890,3.200,3.150,0.850,0.5,0.950,0.900,2.25,0.900","1.880,3.300,3.500,0.820,0.5,0.910,0.870,2.25,0.920","1.900,3.150,3.300,0.900,0.5,0.800,0.850,2.25,0.850",,"1.800,3.200,3.550,0.800,0.5,0.900,0.850,2.25,0.850","1.920,3.310,4.080,0.910,0.5,0.890,0.890,2.25,0.890"
20200409,,球会友谊,哥达霍姆斯,摩森斯,1-4,,,,,,,,,,,,,,,,,,
20200411,,白俄超,尼曼河格罗德诺,别尔希纳博布鲁伊斯克,1-1,"1.910,3.400,4.000,0.920,0.5,0.880,0.820,2.0,0.980","1.850,3.150,3.800,0.880,0.5,0.880,1.040,2.25,0.720","1.660,3.250,4.550,0.970,0.75,0.780,0.780,2.25,0.920",,"1.860,3.100,3.850,0.860,0.5,0.940,0.800,2.0,1.000",,,,"1.850,3.100,3.800,0.850,0.5,0.940,0.840,2.0,0.960","1.800,3.100,4.200,0.940,0.5,0.870,0.830,2.0,0.950",,"1.860,3.100,3.850,0.860,0.5,0.940,0.800,2.0,1.000","1.890,3.200,3.600,0.950,0.5,0.890,1.110,2.25,0.720","1.810,3.200,3.950,0.900,0.5,0.890,1.060,2.25,0.730","1.900,3.200,3.900,0.830,0.5,0.920,0.790,2.0,0.950",,"1.640,3.300,4.200,0.850,0.75,0.910,0.880,2.25,0.880","1.910,3.460,4.100,0.760,0.5,1.040,0.800,2.0,0.980"
